t_s,width_x_m,width_3d_m,width_norm
0.000000000000000000e+00,8.470581031439311515e-02,1.295325748467247018e-01,4.430316785727319573e-01
1.668333333333333474e-02,8.407974021055550362e-02,1.288995973414825691e-01,4.354337404193628913e-01
3.336666666666666947e-02,8.447483911056319350e-02,1.292994403814237414e-01,4.402286299825630134e-01
5.005000000000000421e-02,8.423046253023769303e-02,1.290516327596848978e-01,4.372628947844380276e-01
6.673333333333333894e-02,8.452887767121375351e-02,1.293561011542890549e-01,4.408844377574484552e-01
8.341666666666666674e-02,8.480593504227862400e-02,1.296291711693700888e-01,4.442467844936726085e-01
1.001000000000000084e-01,8.433910528199600742e-02,1.291649441234226647e-01,4.385813747815049402e-01
1.167833333333333362e-01,8.413435868964930231e-02,1.289508422146525557e-01,4.360965860394332982e-01
1.334666666666666779e-01,8.420242742806605118e-02,1.290280191576786695e-01,4.369226629619666347e-01
1.501500000000000057e-01,8.402261810186961721e-02,1.288494100752545779e-01,4.347405109450196425e-01
1.668333333333333335e-01,8.411633743196422763e-02,1.289437061723932298e-01,4.358778814558765258e-01
1.835166666666666613e-01,8.482420131990547896e-02,1.296461225999973044e-01,4.444684626202121125e-01
2.002000000000000168e-01,8.404758040321808066e-02,1.288689067920064657e-01,4.350434514953650522e-01
2.168833333333333446e-01,8.403602260777720545e-02,1.288581476139294690e-01,4.349031869875874534e-01
2.335666666666666724e-01,7.547818474419767942e-02,1.213062742343119088e-01,3.310459313616223032e-01
2.502500000000000280e-01,7.629736943874876332e-02,1.220151656397909234e-01,3.409874931886985872e-01
2.669333333333333558e-01,8.381300232348248835e-02,1.286325218410309112e-01,4.321966301393505572e-01
2.836166666666666836e-01,8.410454706778475176e-02,1.289248408486813879e-01,4.357347945119508514e-01
3.003000000000000114e-01,7.547010017610350507e-02,1.213407503589881975e-01,3.309478176711590502e-01
3.169833333333333392e-01,7.549772451246830607e-02,1.213613077717403677e-01,3.312830644717027484e-01
3.336666666666666670e-01,7.562270261008016692e-02,1.214170995769681821e-01,3.327997889572835710e-01
3.503499999999999948e-01,7.599461300105736505e-02,1.217962657494417733e-01,3.373132645759389092e-01
3.670333333333333226e-01,8.453845110481825187e-02,1.293591141019328483e-01,4.410006202041050205e-01
3.837166666666666504e-01,8.452452571327551123e-02,1.293407746344192033e-01,4.408316227339261206e-01
4.004000000000000337e-01,8.453648986901174389e-02,1.293488215532661856e-01,4.409768187986862209e-01
4.170833333333333615e-01,8.434464994300885921e-02,1.291529189736557448e-01,4.386486643569036392e-01
4.337666666666666893e-01,8.434550331177370630e-02,1.291604967063819109e-01,4.386590207739527458e-01
4.504500000000000171e-01,8.438961673918676798e-02,1.292057140520232184e-01,4.391943779027520089e-01
4.671333333333333449e-01,8.446992369477190898e-02,1.292915956367683139e-01,4.401689768782998669e-01
4.838166666666666726e-01,8.463527845568219465e-02,1.294524426099524506e-01,4.421757094136188893e-01
5.005000000000000560e-01,8.454067432298723039e-02,1.293706828272687126e-01,4.410276010071265684e-01
5.171833333333333282e-01,8.418575574016465279e-02,1.290142744657467866e-01,4.367203366524836650e-01
5.338666666666667115e-01,8.433351102581493342e-02,1.291657092773438043e-01,4.385134833229967777e-01
5.505499999999999838e-01,8.416535447242978751e-02,1.289872061475860199e-01,4.364727484518178269e-01
5.672333333333333671e-01,8.408456924246576758e-02,1.289062941244260851e-01,4.354923451755554065e-01
5.839166666666666394e-01,8.417518798414896919e-02,1.289937695444232924e-01,4.365920871862739028e-01
6.006000000000000227e-01,8.399777771212471600e-02,1.288109323558759012e-01,4.344390499044261666e-01
6.172833333333332950e-01,8.404088248596960908e-02,1.288590030194526337e-01,4.349621660918641664e-01
6.339666666666666783e-01,8.411692773996903849e-02,1.289337763032108730e-01,4.358850453879737907e-01
6.506500000000000616e-01,8.376901546300746793e-02,1.285841615530166626e-01,4.316628090170809284e-01
6.673333333333333339e-01,8.466950223001482034e-02,1.294711868384673115e-01,4.425910464807623623e-01
6.840166666666667172e-01,8.442482285302321809e-02,1.292296390774260728e-01,4.396216365658157654e-01
