t,gx,gy,gz,ax,ay,az
-5.658958793170035034e-04,-7.454739084132055646e-03,-1.064962726304579353e-02,-6.389776357827475772e-02,8.985611510791366996e+00,6.474820143884892076e-02,3.985611510791366996e+00
4.390250279341964545e-03,-7.454739084132055646e-03,0.000000000000000000e+00,-6.709265175718849561e-02,9.103117505995204084e+00,1.007194244604316530e-01,4.091127098321343247e+00
9.346396438000932269e-03,-4.259850905218317760e-03,-4.259850905218317760e-03,-7.454739084132055993e-02,9.148681055155876152e+00,9.112709832134292809e-02,4.151079136690647431e+00
1.430254259665989999e-02,0.000000000000000000e+00,-1.064962726304579353e-02,-7.348242811501597138e-02,9.067146282973620686e+00,1.582733812949640162e-01,4.124700239808153590e+00
1.925868875531886598e-02,1.384451544195953142e-02,-6.389776357827475772e-03,-7.135250266240682204e-02,8.978417266187049606e+00,2.086330935251798635e-01,4.055155875299759849e+00
2.421483491397783544e-02,1.703940362087327104e-02,-1.171458998935037341e-02,-7.774227902023429781e-02,8.995203836930455665e+00,2.973621103117505826e-01,3.774580335731414937e+00
2.917098107263680143e-02,3.194888178913737886e-03,-5.324813631522896766e-03,-8.306709265175718504e-02,8.896882494004795916e+00,4.292565947242206192e-01,3.714628297362110310e+00
3.412712723129576742e-02,2.129925452609158880e-03,2.129925452609158706e-02,-7.454739084132055993e-02,8.839328537170263900e+00,4.892086330935251914e-01,3.865707434052757741e+00
3.908327338995473688e-02,1.064962726304579353e-02,4.153354632587859252e-02,-5.537806176783812567e-02,8.877697841726618577e+00,4.580335731414867939e-01,4.081534772182254578e+00
4.403941954861370633e-02,1.384451544195953142e-02,4.153354632587859252e-02,-5.431309904153354406e-02,8.959232613908872267e+00,4.580335731414867939e-01,4.261390887290168017e+00
4.899556570727267579e-02,1.064962726304579353e-02,3.088391906283280072e-02,-5.324813631522896940e-02,8.834532374100719565e+00,5.923261390887289979e-01,4.479616306954436133e+00
5.395171186593163831e-02,1.064962726304579353e-02,1.597444089456868943e-02,-4.579339723109691201e-02,8.800959232613909222e+00,7.218225419664268117e-01,4.359712230215827766e+00
5.890785802459060777e-02,-4.259850905218317760e-03,7.454739084132055646e-03,-3.940362087326943624e-02,8.750599520383692820e+00,7.074340527577938076e-01,4.402877697841726778e+00
6.386400418324957029e-02,-1.597444089456868943e-02,0.000000000000000000e+00,-3.088391906283280072e-02,8.606714628297362779e+00,6.570743405275779603e-01,4.484412470023980468e+00
6.882015034190853975e-02,-1.916932907348242732e-02,-1.597444089456868943e-02,-1.916932907348242732e-02,8.501199040767385640e+00,6.019184652278177783e-01,4.386091127098321607e+00
7.377629650056750921e-02,-1.490947816826411129e-02,-2.023429179978700893e-02,-1.171458998935037341e-02,8.798561151079136167e+00,5.203836930455635335e-01,4.179856115107913439e+00
7.873244265922647867e-02,-1.064962726304579353e-02,-3.194888178913737886e-03,-3.194888178913737886e-03,8.932853717026379314e+00,5.107913669064748641e-01,4.422062350119904117e+00
8.368858881788544812e-02,-2.129925452609158880e-03,-1.703940362087327104e-02,2.129925452609158880e-03,8.956834532374100988e+00,4.820143884892086339e-01,4.242206235011990678e+00
8.864473497654441758e-02,-2.449414270500532495e-02,-3.940362087326943624e-02,6.389776357827475772e-03,8.944844124700239263e+00,5.011990407673860837e-01,4.040767386091126845e+00
9.360088113520338704e-02,-2.449414270500532495e-02,-3.088391906283280072e-02,2.342917997870074681e-02,8.752997601918465875e+00,5.491606714628297636e-01,4.019184652278177339e+00
9.855702729386235650e-02,-4.259850905218317760e-03,-2.129925452609158880e-03,5.431309904153354406e-02,8.717026378896882477e+00,4.172661870503597270e-01,4.050359712230215514e+00
1.035131734525213121e-01,1.064962726304579353e-02,1.597444089456868943e-02,7.028753993610223350e-02,9.007194244604317390e+00,1.630695443645084064e-01,4.412470023980815448e+00
1.084693196111802815e-01,3.620873269435569836e-02,3.194888178913737886e-03,6.283280085197018305e-02,9.023980815347721673e+00,1.294964028776978415e-01,4.482014388489208301e+00
1.134254657698392510e-01,4.898828541001064990e-02,-1.597444089456868943e-02,5.324813631522896940e-02,9.182254196642686495e+00,2.254196642685851182e-01,4.369304556354916436e+00
1.183816119284982205e-01,5.537806176783812567e-02,-7.454739084132055646e-03,7.135250266240682204e-02,8.769784172661870159e+00,3.093525179856115304e-01,4.009592326139088669e+00
1.233377580871571899e-01,6.602768903088392094e-02,2.023429179978700893e-02,1.033013844515442009e-01,8.702637889688249473e+00,2.901678657074340251e-01,4.194244604316546443e+00
1.282939042458161594e-01,1.064962726304579388e-01,5.005324813631523151e-02,1.288604898828540901e-01,8.719424460431655532e+00,3.357314148681055377e-01,4.208633093525179447e+00
1.332500504044751288e-01,1.118210862619808260e-01,4.366347177848775574e-02,1.640042598509052207e-01,8.764988009592325824e+00,1.342925659472422040e-01,4.388489208633093774e+00
1.382061965631340983e-01,1.363152289669861683e-01,4.366347177848775574e-02,1.810436634717784987e-01,9.021582733812950394e+00,-4.316546762589928282e-02,4.266187050359712352e+00
1.431623427217930677e-01,1.341853035143769912e-01,4.579339723109691201e-02,1.799787007454738963e-01,9.232613908872901121e+00,-9.352517985611510931e-02,4.558752997601918544e+00
1.481184888804520372e-01,1.373801916932907430e-01,3.407880724174654208e-02,1.735889243876464205e-01,9.194244604316546443e+00,-4.076738609112710160e-02,4.565947242206235046e+00
1.530746350391110067e-01,1.352502662406815659e-01,2.023429179978700893e-02,1.725239616613418459e-01,9.141486810551558762e+00,-6.714628297362110199e-02,4.616306954436450560e+00
1.580307811977699761e-01,1.469648562300319428e-01,1.703940362087327104e-02,1.746538871139510229e-01,9.263788968824940184e+00,-2.350119904076738708e-01,4.529976019184652536e+00
1.629869273564289456e-01,1.533546325878594185e-01,1.171458998935037341e-02,1.576144834930777450e-01,9.350119904076738209e+00,-4.436450839328537343e-01,4.287769784172661858e+00
1.679430735150879150e-01,1.512247071352502692e-01,1.384451544195953142e-02,1.171458998935037271e-01,9.254196642685851515e+00,-4.628297362110311841e-01,4.004796163069544335e+00
1.728992196737468845e-01,1.554845580404685956e-01,3.301384451544196047e-02,8.093716719914803570e-02,9.302158273381294862e+00,-3.117505995203836977e-01,3.652278177458033515e+00
1.778553658324058540e-01,1.458998935037273681e-01,4.898828541001064990e-02,6.389776357827475772e-02,9.184652278177457774e+00,-2.637889688249400733e-01,3.868105515587529908e+00
1.828115119910648234e-01,1.671991480298189447e-01,7.028753993610223350e-02,6.070287539936101984e-02,9.016786570743406060e+00,-2.422062350119904006e-01,4.023980815347721673e+00
1.877676581497237929e-01,1.853035143769967974e-01,7.135250266240682204e-02,6.815761448349308416e-02,9.000000000000000000e+00,-2.829736211031175230e-01,4.155875299760191766e+00
1.927238043083827623e-01,2.161874334398296016e-01,6.176783812566560145e-02,6.922257720979765883e-02,8.863309352517985573e+00,-1.942446043165467762e-01,3.880095923261390745e+00
1.976799504670417318e-01,2.364217252396166036e-01,7.454739084132055993e-02,8.413205537806177359e-02,8.568345323741006325e+00,-5.275779376498800771e-02,3.863309352517985573e+00
2.026360966257006735e-01,2.673056443024494078e-01,9.797657082002129980e-02,1.214057507987220397e-01,8.705035971223020752e+00,-8.393285371702638442e-02,3.992805755395683498e+00
2.075922427843596429e-01,2.886048988285410122e-01,1.011714589989350377e-01,1.427050053248136441e-01,8.901678657074340251e+00,-2.254196642685851182e-01,4.076738609112710243e+00
2.125483889430186124e-01,2.843450479233226580e-01,7.880724174653887248e-02,1.341853035143769912e-01,8.932853717026379314e+00,-2.949640287769784153e-01,4.143884892086330929e+00
2.175045351016775819e-01,2.822151224707135087e-01,5.750798722044728195e-02,1.096911608093716767e-01,8.829736211031175230e+00,-1.318944844124700366e-01,3.810551558752997447e+00
2.224606812603365513e-01,2.577209797657081802e-01,5.431309904153354406e-02,9.691160809371672513e-02,8.829736211031175230e+00,1.678657074340527550e-02,3.834532374100719565e+00
2.274168274189955208e-01,2.470713525026624058e-01,5.963791267305644517e-02,9.584664536741213658e-02,9.103117505995204084e+00,-1.918465227817745672e-02,3.750599520383693264e+00
2.323729735776544902e-01,2.204472843450479280e-01,6.283280085197018305e-02,8.413205537806177359e-02,9.342925659472422595e+00,-1.726618705035971313e-01,3.800959232613908778e+00
2.373291197363134597e-01,2.034078807241746500e-01,7.561235356762513460e-02,5.324813631522896940e-02,9.287769784172661858e+00,-3.597122302158273222e-02,3.736211031175059816e+00
2.422852658949724292e-01,1.778487752928647470e-01,9.797657082002129980e-02,2.875399361022364098e-02,9.143884892086331817e+00,2.182254196642685884e-01,3.860911270983213406e+00
