frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
0,0.000000,2,false,false,-0.006001536,0.008635269,-0.009711601,0.011060474,0.029760882,0.004427949,0.999486089
1,0.033367,2,false,false,-0.003043725,0.018872904,-0.013965793,-0.011973921,-0.028701294,-0.005392596,-0.999501824
2,0.066733,2,false,false,-0.003189090,0.018554648,-0.013600858,-0.011627208,-0.028534101,-0.005799421,-0.999508440
3,0.100100,2,false,false,-0.003413671,0.018678922,-0.013711577,-0.011809671,-0.028417183,-0.005504064,-0.999511242
4,0.133467,2,false,false,-0.001982540,0.009163533,-0.005265815,-0.010851293,-0.026913283,-0.003438303,-0.999572992
5,0.166833,2,false,false,-0.001946006,0.009240039,-0.005549661,-0.010351939,-0.024321461,-0.000715226,-0.999650359
6,0.200200,2,false,false,-0.001824798,0.009175389,-0.005421607,-0.009210045,-0.020551382,0.000701504,-0.999746203
7,0.233567,2,false,false,-0.001540318,0.009016747,-0.005101805,-0.008201388,-0.016245114,0.002183197,-0.999832034
8,0.266933,2,false,false,-0.000965421,0.008499198,-0.004339604,-0.006402043,-0.013952233,0.002575413,-0.999878883
9,0.300300,2,false,false,-0.000278685,0.007429001,-0.003610412,-0.004816553,-0.013145765,0.002375179,-0.999899209
10,0.333667,2,false,false,0.000696389,0.005577634,-0.002663617,-0.004634654,-0.013261054,0.000977146,-0.999900877
11,0.367033,2,false,false,0.001985247,0.003053105,-0.001956950,-0.006042736,-0.012574094,-0.000857660,-0.999902368
12,0.400400,2,false,false,0.003369014,-0.000273421,-0.000587923,-0.009206631,-0.011263712,0.000519266,-0.999894023
13,0.433767,2,false,false,0.008033474,0.001128345,-0.005502877,-0.011594852,-0.010771580,0.000650500,-0.999874592
14,0.467133,2,false,false,0.009219085,-0.006049742,-0.007251195,0.012454058,0.011920922,0.001690622,0.999850035
15,0.500500,2,false,false,0.011148593,-0.009655472,-0.007384615,0.011955898,0.013372624,0.003061842,0.999834478
