Frame,GT_X,GT_Y,GT_Z,Pred_SS_X,Pred_SS_Y,Pred_SS_Z,Pred_OL_X,Pred_OL_Y,Pred_OL_Z
0,0.25377,0.00216,0.03267,0.25459,0.00132,0.03287,0.25338,0.00009,0.03311
6,0.25419,0.00311,0.03248,0.25463,0.00337,0.03234,0.25354,0.00023,0.03353
12,0.25628,-0.00093,0.03111,0.25454,0.00325,0.03244,0.25248,0.00099,0.03326
18,0.25833,-0.00490,0.02956,0.25906,-0.00532,0.02941,0.25348,0.00019,0.03281
24,0.25831,-0.00481,0.02944,0.25847,-0.00572,0.02943,0.25340,-0.00102,0.03204
30,0.26351,-0.01061,0.02878,0.25986,-0.00522,0.02938,0.25477,-0.00261,0.03234
36,0.25822,-0.00419,0.02985,0.25831,-0.00404,0.02980,0.25553,-0.00249,0.03221
42,0.25792,-0.00415,0.02935,0.25941,-0.00560,0.02924,0.25564,-0.00161,0.03189
48,0.25932,-0.00556,0.02900,0.25834,-0.00370,0.02941,0.25572,-0.00148,0.03193
54,0.25861,-0.00276,0.03038,0.25728,-0.00297,0.03022,0.25525,-0.00231,0.03203
60,0.26049,-0.00076,0.03397,0.26045,-0.00110,0.03219,0.25601,-0.00161,0.03305
66,0.26164,-0.00130,0.03709,0.26297,-0.00104,0.03922,0.25570,-0.00095,0.03345
72,0.26339,-0.00133,0.03808,0.26338,-0.00046,0.03798,0.25739,-0.00049,0.03356
78,0.26672,-0.00003,0.04676,0.26676,-0.00033,0.04937,0.25876,0.00187,0.03426
84,0.27315,0.00035,0.05174,0.27523,0.00011,0.05235,0.26119,0.00240,0.03522
90,0.28118,0.00174,0.05616,0.28224,0.00025,0.05603,0.26276,0.00314,0.03565
96,0.29225,0.00045,0.05986,0.29313,0.00106,0.06201,0.26542,0.00286,0.03640
102,0.30421,-0.00269,0.06069,0.30451,-0.00391,0.06100,0.26644,0.00369,0.03752
108,0.31561,-0.00282,0.06443,0.31452,-0.00457,0.06529,0.26719,0.00352,0.03829
114,0.32469,-0.00322,0.06592,0.32633,-0.00318,0.06642,0.26855,0.00597,0.03918
120,0.33232,-0.00151,0.06483,0.33325,-0.00025,0.06508,0.26881,0.00844,0.03961
126,0.34055,-0.00013,0.06079,0.34060,-0.00167,0.06136,0.26960,0.01058,0.03970
132,0.34844,0.00212,0.05643,0.34879,0.00011,0.05687,0.27077,0.01268,0.03963
138,0.35401,0.00288,0.05314,0.35488,0.00286,0.05351,0.27067,0.01555,0.03957
144,0.35789,0.00294,0.05176,0.35864,0.00299,0.05176,0.26906,0.01807,0.03963
150,0.36014,0.00173,0.05186,0.35859,0.00142,0.05171,0.26790,0.02182,0.03964
156,0.36052,-0.00227,0.05131,0.36046,-0.00175,0.05094,0.26766,0.02514,0.03970
162,0.36091,-0.00656,0.05028,0.36148,-0.00683,0.05048,0.26751,0.02924,0.04025
168,0.36048,-0.01136,0.05050,0.36193,-0.01045,0.05059,0.26784,0.03166,0.04072
174,0.36075,-0.01650,0.05046,0.36051,-0.01784,0.05036,0.26688,0.03448,0.04072
180,0.36136,-0.02184,0.05025,0.36291,-0.02316,0.05032,0.26708,0.03655,0.04092
186,0.36273,-0.02911,0.05067,0.36421,-0.03179,0.05095,0.26717,0.03638,0.04142
192,0.36438,-0.03762,0.05097,0.36566,-0.03991,0.05082,0.26769,0.03783,0.04122
198,0.36542,-0.04743,0.05171,0.36848,-0.04902,0.05166,0.26947,0.03969,0.04121
204,0.36663,-0.05874,0.05197,0.36811,-0.05923,0.05196,0.27127,0.04137,0.04118
210,0.36739,-0.07010,0.05329,0.36597,-0.07019,0.05307,0.26980,0.04406,0.04083
216,0.36746,-0.08088,0.05514,0.36823,-0.08075,0.05525,0.26891,0.04514,0.04052
222,0.36746,-0.09026,0.05531,0.36752,-0.09087,0.05568,0.26933,0.04636,0.04029
228,0.36711,-0.09735,0.05547,0.36603,-0.09791,0.05542,0.26875,0.04826,0.03961
234,0.36670,-0.10203,0.05476,0.36570,-0.10365,0.05497,0.26767,0.04886,0.03931
240,0.36743,-0.10472,0.05214,0.36736,-0.10569,0.05273,0.26800,0.04934,0.03956
246,0.36772,-0.10566,0.05128,0.36867,-0.10855,0.05180,0.26886,0.04990,0.03938
252,0.37079,-0.10820,0.04770,0.36893,-0.10836,0.04865,0.26827,0.05079,0.03908
258,0.37305,-0.10950,0.04502,0.37325,-0.11111,0.04565,0.26866,0.04990,0.03851
264,0.37288,-0.11440,0.04460,0.37335,-0.11669,0.04488,0.26961,0.05210,0.03828
270,0.37254,-0.12334,0.04559,0.37024,-0.12449,0.04570,0.27035,0.05274,0.03811
276,0.37314,-0.13326,0.04577,0.37338,-0.13471,0.04594,0.27366,0.05375,0.03783
282,0.37409,-0.14355,0.04635,0.37489,-0.14433,0.04599,0.27597,0.05403,0.03691
288,0.37543,-0.15140,0.04673,0.37849,-0.15250,0.04684,0.27997,0.05471,0.03618
294,0.37732,-0.15556,0.04694,0.37840,-0.15699,0.04708,0.28202,0.05521,0.03577
300,0.37919,-0.15820,0.04723,0.38068,-0.15958,0.04656,0.28416,0.05607,0.03457
306,0.38336,-0.16088,0.04745,0.38409,-0.16124,0.04712,0.28651,0.05662,0.03386
312,0.38867,-0.16006,0.04712,0.38900,-0.15895,0.04722,0.28829,0.05709,0.03336
318,0.39458,-0.15820,0.04607,0.39595,-0.15821,0.04650,0.29236,0.05799,0.03292
324,0.39992,-0.15574,0.04487,0.40027,-0.15580,0.04494,0.29564,0.05882,0.03197
330,0.40654,-0.15335,0.04401,0.40685,-0.15344,0.04376,0.29751,0.05864,0.03164
336,0.41491,-0.15139,0.04286,0.41719,-0.15164,0.04324,0.29893,0.05855,0.03187
342,0.42442,-0.15184,0.04180,0.42341,-0.15024,0.04277,0.30285,0.05831,0.03210
348,0.43491,-0.15381,0.04247,0.43595,-0.15297,0.04209,0.30513,0.05974,0.03205
354,0.44486,-0.15743,0.04267,0.44516,-0.15743,0.04221,0.30778,0.05861,0.03234
360,0.45554,-0.16068,0.04252,0.45450,-0.16040,0.04200,0.30846,0.05982,0.03196
366,0.46531,-0.16404,0.04212,0.46735,-0.16565,0.04163,0.31008,0.06064,0.03161
372,0.47286,-0.16894,0.04183,0.47390,-0.16975,0.04102,0.31094,0.06186,0.03134
378,0.47839,-0.17295,0.04015,0.48000,-0.17426,0.04002,0.31061,0.06160,0.03091
